species,filename,relative_path,full_path,quality_rating,file_extension
Brachypteryx montana,XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,Brachypteryx montana/A/XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,data/raw/Brachypteryx montana/A/XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,A,.wav
Brachypteryx montana,XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,Brachypteryx montana/A/XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,data/raw/Brachypteryx montana/A/XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,A,.mp3
Brachypteryx montana,XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/A/XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/A/XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,A,.mp3
Brachypteryx montana,XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
