"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Nightjar","Caprimulgus manillensis",,"Rolf A. de By",2001-02-05,20:05,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411585,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Rolf A. de By",2001-02-05,20:04,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411583,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Rolf A. de By",2001-02-05,20:05,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411584,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus",septimus,"Rolf A. de By",2001-02-12,18:33,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,"Ssp inferred from location only.",,412044,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Coucal","Centropus unirufus",,"Desmond Allen",2001-01-08,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,"excited calls from flock",,79252,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-faced Coucal","Centropus melanops",,"Rolf A. de By",2001-02-06,15:42,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411621,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Rolf A. de By",2001-02-06,15:44,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411622,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",,"Desmond Allen",2001-01-08,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,"alarm calls?",,79287,//creativecommons.org/licenses/by-nc-nd/2.5/
"Violet Cuckoo","Chrysococcyx xanthorhynchus",amethystinus,"Rolf A. de By",2001-02-09,15:44,"PICOP, Bislig, Surigao del Sur",Philippines,8.3034,126.1555,190,song,,,411764,//creativecommons.org/licenses/by-nc-sa/4.0/
"Violet Cuckoo","Chrysococcyx xanthorhynchus",amethystinus,"Rolf A. de By",2001-02-09,15:47,"PICOP, Bislig, Surigao del Sur",Philippines,8.3034,126.1555,190,song,"Single extra song bout from same individual as in XC411764.",,411765,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Desmond Allen",2001-01-02,?:?,"Tabunan, Cebu",Philippines,10.432105,123.808365,?,call,"bird calling. Often split as Phillippine Hawk-cuckoo",,79259,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-eared Brown Dove","Phapitreron leucotis",,"Rolf A. de By",2001-02-06,06:53,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,"Pitta steerii",411616,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chinned Fruit Dove","Ptilinopus leclancheri",leclancheri,"Rolf A. de By",2001-02-06,09:07,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Ssp inferred from location only.  Is that a woodpecker in the background?  This recording has been rather severely filtered and audio edited to bring to the foreground the dove calling.",,411620,//creativecommons.org/licenses/by-nc-sa/4.0/
"Slaty-breasted Rail","Lewinia striata",albiventer,"Rolf A. de By",2001-02-08,17:30,"Bislig Airport",Philippines,8.198,126.3252,10,call,"Recording from a small paddy at edge of airfield, bird seen but not for prolonged periods, and hence ID perhaps at only 90-95%.  Characteristics of recorded calls however seem to corroborate the ID.  This would be/is the first recording of this species at XC for the Philippines.
Ssp totally inferred from location only.",,411628,//creativecommons.org/licenses/by-nc-sa/4.0/
"Cebu Hawk-Owl","Ninox rumseyi",,"Desmond Allen",2001-01-01,?:?,"Tabunan, Cebu",Philippines,10.432105,123.808365,?,call,"bird calling in coconut grove",,79316,//creativecommons.org/licenses/by-nc-nd/2.5/
"Giant Scops Owl","Otus gurneyi",,"Rolf A. de By",2001-02-12,04:52,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"Originally believed to be a frogmouth.",,411785,//creativecommons.org/licenses/by-nc-sa/4.0/
"Giant Scops Owl","Otus gurneyi",,"Rolf A. de By",2001-02-13,04:53,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,412045,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Hornbill","Buceros hydrocorax",mindanensis,"Rolf A. de By",2001-02-10,07:44,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,"Pitta steerii",411781,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Hornbill","Buceros hydrocorax",mindanensis,"Rolf A. de By",2001-02-10,07:44,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,"Erythropitta erythrogaster,Pitta steerii",411780,//creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hornbill","Penelopides manillae",subniger,"Desmond Allen",2001-01-08,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,calls,,79250,//creativecommons.org/licenses/by-nc-nd/2.5/
"Samar Hornbill","Penelopides samarensis",,"Desmond Allen",2001-01-02,?:?,"Rajah Sikatuna National Park, Bohol",Philippines,,,?,call,"bird calling overhead",,79256,//creativecommons.org/licenses/by-nc-nd/2.5/
"Winchell's Kingfisher","Todiramphus winchelli",,"Desmond Allen",2001-01-08,?:?,"Tablas Island, Romblon Province",Philippines,,,?,call,"chanting, descending calls",,79247,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mindoro Racket-tail","Prioniturus mindorensis",,"Desmond Allen",2001-01-08,?:?,"Sablayan Penal Colony, Mindoro",Philippines,12.812052,120.924282,?,call,"4-5 birds, calling from tree",,79225,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pitta","Erythropitta erythrogaster",erythrogaster,"Rolf A. de By",2001-02-10,08:11,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,"Pitta steerii",411784,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Pitta","Erythropitta erythrogaster",erythrogaster,"Rolf A. de By",2001-02-10,08:05,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,"Pitta steerii",411783,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Rolf A. de By",2001-02-07,06:01,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411624,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",steerii,"Rolf A. de By",2001-02-10,07:26,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,"Same individual as XC411776.",,411777,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",steerii,"Rolf A. de By",2001-02-10,07:25,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,411776,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Rolf A. de By",2001-02-07,06:02,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,411625,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Rolf A. de By",2001-02-06,06:53,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Bird singing but seen only rather late.",,411588,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Rolf A. de By",2001-02-06,06:51,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Bird singing but seen only rather late.",,411587,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",steerii,"Rolf A. de By",2001-02-10,07:57,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,"call, song",,"Pitta steerii",411782,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",steerii,"Rolf A. de By",2001-02-10,07:27,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,"Same individual as XC411776.",,411778,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-breasted Woodswallow","Artamus leucorynchus",,"Desmond Allen",2001-01-08,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,"single call",,79294,//creativecommons.org/licenses/by-nc-nd/2.5/
"Bar-bellied Cuckooshrike","Coracina striata",,"Desmond Allen",2001-01-08,?:?,"Tablas Island, Romblon Province",Philippines,,,?,call,"flock of birds calling",,79310,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-bellied Whistler","Pachycephala philippinensis",,"Rolf A. de By",2001-02-06,09:07,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Bird not seen, and ID perhaps around 80% certain. Refutation or confirmation required.",,411619,//creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",samarensis,"Rolf A. de By",2001-02-06,15:47,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,"call, song","Bird not seen but in canopy of not very tall trees.  Originally a mystery recording.  Desmond Allen kindly helped out.","Centropus melanops",411623,//creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"Desmond Allen",2001-01-01,?:?,"Subic Bay, Luzon",Philippines,14.808077,120.237808,?,call,"bird calling possibly in alarm",,79286,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pied Fantail","Rhipidura nigritorquis",,"Rolf A. de By",2001-02-04,17:32,"Tabunan Forest, Cebu, Central Visayas",Philippines,10.4392,123.8244,500,song,,,411575,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-and-cinnamon Fantail","Rhipidura nigrocinnamomea",,"Rolf A. de By",2001-02-12,12:29,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"Ssp in this location is uncertain, I believe.",,412040,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Paradise Flycatcher","Terpsiphone cinnamomea",cinnamomea,"Rolf A. de By",2001-02-10,06:47,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,"Same individual as previous.","Oriolus steerii,Tanygnathus sumatranus,Erythropitta erythrogaster",411769,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Paradise Flycatcher","Terpsiphone cinnamomea",cinnamomea,"Rolf A. de By",2001-02-10,06:47,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,"Same individual as previous.","Erythropitta erythrogaster",411768,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Paradise Flycatcher","Terpsiphone cinnamomea",cinnamomea,"Rolf A. de By",2001-02-10,06:47,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,"Gallus gallus",411767,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Rolf A. de By",2001-02-06,08:36,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Bird not seen, any attempt to compare against species seen/heard that day, or generally found in the park have failed to turn up a serious candidate.  Yet, this does not sound totally unfamiliar.

Desmond Allen kindly helped out in suggesting correct ID.  

Ssp inferred from location only, and fide Kennedy et al.",,411618,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Rolf A. de By",2001-02-06,05:51,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Bird singing at dawn, but not seen.  Desmond Allen kindly helped out with suggestion ID.",,411586,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Desmond Allen",2001-01-02,?:?,"Rajah Sikatuna National Park, Bohol",Philippines,,,?,song,"song and calls. This was allocated to Visayan Bulbul which illustrates yet again how confusing the use of this epithet is",,79297,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellowish Bulbul","Hypsipetes everetti",everetti,"Rolf A. de By",2001-02-09,16:09,"PICOP, Bislig, Surigao del Sur",Philippines,8.3034,126.1555,190,call,,,411766,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellow-wattled Bulbul","Poliolophus urostictus",,"Desmond Allen",2001-01-02,?:?,"Rajah Sikatuna National Park, Bohol",Philippines,,,?,call,"Repeated call",,79242,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous-headed Tailorbird","Phyllergates heterolaemus",,"Rolf A. de By",2001-02-13,10:12,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,"call, song",,,412051,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-headed Tailorbird","Phyllergates heterolaemus",,"Rolf A. de By",2001-02-13,10:11,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,"call, song",,,412049,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-headed Tailorbird","Phyllergates heterolaemus",,"Rolf A. de By",2001-02-13,10:03,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,"call, song",,,412048,//creativecommons.org/licenses/by-nc-sa/4.0/
"Long-tailed Bush Warbler","Locustella caudata",unicolor,"Rolf A. de By",2001-02-13,09:51,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,"Ssp inferred from location only.",,412046,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-fronted Tailorbird","Orthotomus frontalis",frontalis,"Rolf A. de By",2001-02-06,08:04,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,"Ssp inferred from location only.","Pitta steerii",411617,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellow-breasted Tailorbird","Orthotomus samarensis",,"Rolf A. de By",2001-02-07,06:35,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,"Orthotomus frontalis",411626,//creativecommons.org/licenses/by-nc-sa/4.0/
"Warbling White-eye","Zosterops japonicus",vulcani,"Rolf A. de By",2001-02-12,08:36,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"Contact calls.  Ssp believed to be this one on basis of location only.  Same individual as XC411789.",,411790,//creativecommons.org/licenses/by-nc-sa/4.0/
"Warbling White-eye","Zosterops japonicus",vulcani,"Rolf A. de By",2001-02-12,08:36,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"Contact calls.  Ssp believed to be this one on basis of location only.",,411789,//creativecommons.org/licenses/by-nc-sa/4.0/
"Short-tailed Starling","Aplonis minor",todayensis,"Rolf A. de By",2001-02-12,06:19,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"A small flock of three.",,411786,//creativecommons.org/licenses/by-nc-sa/4.0/
"Apo Myna","Goodfellowia miranda",,"Rolf A. de By",2001-02-12,12:41,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,"Flock of six birds, same as previously uploaded.",,411870,//creativecommons.org/licenses/by-nc-sa/4.0/
"Apo Myna","Goodfellowia miranda",,"Rolf A. de By",2001-02-12,12:39,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,,,411868,//creativecommons.org/licenses/by-nc-sa/4.0/
