"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"White-browed Shortwing","Brachypteryx montana",brunneiceps,"Dindo Karl Mari Malonzo",2026-04-10,08:00,"Mt. Mantalingahan mossy forest",Philippines,8.8114,117.6649,1700,call,,"Horornis flavolivaceus",1101514,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Pritam Baruah",2025-03-30,15:30,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,song,,,987920,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-browed Shortwing","Brachypteryx montana",undescribed,"Hans Matheve",2024-03-22,?,"Mt Apo (Eden Nature Park), Davao del Sur, Davao Region",Philippines,7.0301,125.3987,800,call,"ID not 100% sure, call was in reaction to playback, but did not activcely see the bird vocalize. ""Morris’s Shortwing""",,965139,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",undescribed,"Hans Matheve",2024-03-22,?,"Mt Apo (Eden Nature Park), Davao del Sur, Davao Region",Philippines,7.0301,125.3987,800,song,"""Morris’s Shortwing""",,965138,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",undescribed,"Hans Matheve",2024-03-22,?,"Mt Apo (Eden Nature Park), Davao del Sur, Davao Region",Philippines,7.0301,125.3987,800,song,"""Morris’s Shortwing""",,965137,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",undescribed,"Hans Matheve",2024-03-22,?,"Mt Apo (Eden Nature Park), Davao del Sur, Davao Region",Philippines,7.0301,125.3987,800,song,"""Morris’s Shortwing""",,965134,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Hans Matheve",2024-03-18,?,"Lake Holon, South Cotabato, Region XII",Philippines,6.1009,124.8789,1400,song,,,964280,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Hans Matheve",2024-03-13,?,"Compostela Valley, Davao de Oro, Davao Region",Philippines,7.4346,126.1675,1500,song,,,964144,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Hans Matheve",2024-03-12,?,"Compostela Valley, Davao de Oro, Davao Region",Philippines,7.4346,126.1675,1500,song,,,964100,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Hans Matheve",2024-03-12,?,"Compostela Valley, Davao de Oro, Davao Region",Philippines,7.4346,126.1675,1500,song,,,964099,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Ding Li Yong",2014-03-04,11:30,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,1500,song,,,936616,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-browed Shortwing","Brachypteryx montana",poliogyna,"Greg Irving",2024-03-28,08:08,"High Point of Tinoc - Buguias Road, Benguet, Cordillera Administrative Region",Philippines,16.7016,120.8845,2400,song,,,897182,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-browed Shortwing","Brachypteryx montana",poliogyna,"Greg Irving",2024-03-28,07:11,"High Point of Tinoc - Buguias Road, Benguet, Cordillera Administrative Region",Philippines,16.7016,120.8845,2400,song,,,897126,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-browed Shortwing","Brachypteryx montana",mindanensis,"Jelle Scharringa",1985-03-25,10:00,"Davao City, Davao del Sur, Davao Region",Philippines,7.0294,125.3536,1600,song,"One male close to ground in tall moss forest on Mount Talomo at 1700m.","Pachycephala philippinensis",646894,https://creativecommons.org/licenses/by-nc-sa/4.0/
