"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
Balicassiao,"Dicrurus balicassius",mirabilis,"Ding Li Yong",2025-11-13,07:30,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,"flight call",,,1055990,https://creativecommons.org/licenses/by-nc-nd/4.0/
Balicassiao,"Dicrurus balicassius",striatus,"Greg Irving",2025-06-11,08:21,"PICOP road 4",Philippines,8.2575,126.1493,170,"call, song","Response to playback of Sulawesi Drongo",,1008948,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",striatus,"Hans Matheve",2024-03-11,?,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,,963940,https://creativecommons.org/licenses/by-nc-nd/4.0/
Balicassiao,"Dicrurus balicassius",,"Oscar Campbell",2014-07-14,15:30,"Mount Makiling, Luzon",Philippines,14.1358,121.19,500,call,"Two birds calling during light rain from canopy above the track.",,190206,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"Frank Lambert",2009-12-12,?:?,"Mindanao; Zamboanga Watershed, Japa",Philippines,6.9,122.1,?,"call, song","Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8090>AV8090</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate.",,68172,https://creativecommons.org/licenses/by-nc-nd/4.0/
Balicassiao,"Dicrurus balicassius",,"GABRIEL LEITE",2025-06-25,07:00,"Luzon; Laguna Province; Mt. Makiling Forest Reserve",Philippines,14.15,121.232,140,"call, song",,,1009614,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"GABRIEL LEITE",2025-06-25,07:00,"Luzon; Laguna Province; Mt. Makiling Forest Reserve",Philippines,14.15,121.232,140,"call, song",,,1009613,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",striatus,"Greg Irving",2025-06-11,07:37,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,"Phapitreron leucotis",1008946,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"Chi-Hsuan Shao",2024-12-31,06:07,"eBird hotspot: Subic Bay--Nabasan Trail",Philippines,14.7639,120.2849,130,call,,,959676,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"Jelle Scharringa",1985-04-15,09:00,"Pagbilao Zigzag Road (near  Pagbilao), Quezon, Calabarzon",Philippines,13.9844,121.8107,170,song,,,776491,https://creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"Jelle Scharringa",1985-04-14,11:30,"Pagbilao Zigzag Road (near  Pagbilao), Quezon, Calabarzon",Philippines,13.9844,121.8107,170,song,,"Hypsipetes philippinus,Gallus gallus",776489,https://creativecommons.org/licenses/by-nc-sa/4.0/
