"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Hans Matheve",2024-03-15,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,call,,,964217,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Hans Matheve",2024-03-15,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,call,,,964216,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Hans Matheve",2024-03-08,?,"PICOP road 4",Philippines,8.2575,126.1493,170,call,,,963852,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Bulbul","Hypsipetes philippinus",philippinus,"Greg Irving",2024-03-29,15:35,"Nabasan Trail, Subic Bay, Morong, Bataan, Central Luzon",Philippines,14.7655,120.2769,110,"call, song",,,897413,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",philippinus,"Greg Irving",2024-03-26,06:52,"Kalbario-Patapat Natural Park, Pagudpud, Ilocos Norte, Ilocos Region",Philippines,18.5302,120.9142,200,"call, song",,,896621,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",,"Greg Irving",2024-03-24,07:20,"Bluewater, Baggao, Cagayan, Cagayan Valley",Philippines,18.0208,121.9978,190,"call, song",,,895948,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",philippinus,"Ding Li Yong",2023-07-01,11:00,"Real, Quezon, Calabarzon",Philippines,14.6048,121.5245,650,song,,"Psilopogon haemacephalus,Robsonius sorsogonensis",813899,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Bulbul","Hypsipetes philippinus",philippinus,"Ding Li Yong",2019-06-16,13:00,"Infanta Road, Laguna, Calabarzon",Philippines,14.5545,121.4838,650,song,,"Actenoides lindsayi",659849,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Bulbul","Hypsipetes philippinus",,"Jelle Scharringa",1985-03-22,07:15,"Davao City, Davao del Sur, Davao Region",Philippines,7.0237,125.3778,1100,"call, song","A few up in trees at forest edge on slope at 1100m.","Ficedula westermanni,Psilopogon haemacephalus,Buceros hydrocorax",631405,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",saturatior,"Frank Lambert",2020-03-04,07:46," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,"Pachycephala leucogastra",622380,https://creativecommons.org/licenses/by-nc-nd/4.0/
