"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Hans Matheve",2024-03-04,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963552,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Hans Matheve",2024-03-03,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963537,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Niall Perrins",2024-02-29,18:30,"Morong (near  Subic Bay Freeport Zone), Bataan, Central Luzon",Philippines,14.7651,120.2767,90,call,,,881040,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis","SS philippensis","brendan sloan",2018-04-25,20:00,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,433965,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",,"Ross Gallardy",2016-05-20,21:00,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,,,321050,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",,"Ross Gallardy",2016-05-17,21:00,"Twin Lakes, Negros Oriental, Central Visayas",Philippines,9.3607,123.1788,900,song,,,321028,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",,"Ross Gallardy",2016-05-17,21:00,"Twin Lakes, Negros Oriental, Central Visayas",Philippines,9.3607,123.1788,900,song,,,321027,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Tomas Carlberg",2014-03-18,05:15,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,"Two birds seen and heard after responding to playback. Along road outside park entrance, at 05:15 am.",,174895,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Tomas Carlberg",2014-03-17,19:10,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,"Two birds seen and heard after responding to playback.",,174894,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Luzon Hawk-Owl","Ninox philippensis",centralis,"Frank Lambert",2010-05-04,?:?,"Negros; Mt. Canlaon",Philippines,10.49,123.1,800,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10800>AV10800</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,68860,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",centralis,"Frank Lambert",2010-05-02,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,800,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10701>AV10701</a>.  Certainty: 100%.  ID determined by: not seen. GPS: estimate from Google Earth.","Ninox randi",68859,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",centralis,"Frank Lambert",2010-04-29,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,800,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10700>AV10700</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,68858,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",centralis,"Frank Lambert",2010-05-13,?:?,"Negros; Patag",Philippines,10.69,123.18,750,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10801>AV10801</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,68856,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",philippensis,"Frank Lambert",1990-00-00,?:?,"Angat, Luzon",Philippines,14.92824,121.030465,?,call,,,30728,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",,"Frank Lambert",1990-00-00,?:?,"Angat, Luzon",Philippines,14.92824,121.030465,?,call,,,30727,https://creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Hawk-Owl","Ninox philippensis",,"Frank Lambert",1990-00-00,?:?,"Angat, Luzon",Philippines,14.92824,121.030465,?,call,,,30726,https://creativecommons.org/licenses/by-nc-nd/4.0/
