"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-11,07:31,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,"Macronus striaticeps,Orthotomus nigriceps",1008933,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-11,07:28,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,,1008932,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Hans Matheve",2024-03-06,?,"Mt. Timpoong, Camiguin",Philippines,9.1842,124.7173,1100,song,,,963800,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,11:18," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622624,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-04,07:05," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622623,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-04,07:00," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622621,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,15:39," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622620,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,11:45," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622616,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-04,06:54," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,"This taxon seems to have two types of song on Cebu [unless I have confused it with Philippine Coucal...this particular bird not seen]",,622613,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-26,09:27,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,song,,,616719,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-21,10:41,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,song,"feeding in a fruiting fig. Several birds present",,616713,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-21,10:44,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,"call, song","feeding in a fruiting fig. Several birds present",,616705,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-21,10:47,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,"call, song","feeding in a fruiting fig. Several birds present",,616704,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Pauline Carmel Joy Eje",2018-02-18,13:00,"Los Banos (near  Los Baños), Laguna, Calabarzon",Philippines,14.1366,121.2212,380,"call, song",,,463896,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Ross Gallardy",2016-05-15,08:30,"Tabunan Forest, Cebu, Central Visayas",Philippines,10.4392,123.8244,500,song,,,320926,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Ross Gallardy",2016-05-15,08:30,"Tabunan Forest, Cebu, Central Visayas",Philippines,10.4392,123.8244,500,song,,,320925,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Ross Gallardy",2016-05-15,08:30,"Tabunan Forest, Cebu, Central Visayas",Philippines,10.4392,123.8244,500,song,,,320924,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Ding Li Yong",2012-03-14,08:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,"Cacomantis sepulcralis",179401,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Tomas Carlberg",2014-03-18,?,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,175083,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2010-05-05,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,900,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10809>AV10809</a>.  Certainty: 100%.  ID determined by: not seen. GPS: estimate from Google Earth.",,69028,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,650,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10902>AV10902</a>.  Certainty: slightly less than 100%.  ID determined by: not seen; matches tentatively identified cuts AV 2262-2267. GPS: recordist's estimate.",,69020,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",leucotis,"David Edwards",2009-04-00,?:?,"Mount Makiling, Luzon",Philippines,14.13583,121.19,500,song,,,35282,https://creativecommons.org/licenses/by-nc-nd/2.5/
"White-eared Brown Dove","Phapitreron leucotis",,"GABRIEL LEITE",2025-06-25,07:00,"Luzon; Laguna Province; Mt. Makiling Forest Reserve",Philippines,14.15,121.232,140,song,,,1009634,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-11,09:03,"PICOP road 4",Philippines,8.2575,126.1493,170,"duet, song",,"Rhipidura superciliaris,Dicrurus balicassius,Terpsiphone cinnamomea",1008934,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-11,06:42,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,"Ducula aenea,Macronus striaticeps,Orthotomus nigriceps",1008931,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-11,06:17,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,,1007952,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-10,08:24,"PICOP road 4",Philippines,8.2575,126.1493,170,song,,,1006779,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-09,15:49,"Tinyu-An Falls, City Of Bislig, Surigao del Sur, Caraga",Philippines,8.1758,126.2288,100,song,,"Todiramphus winchelli,Dicaeum australe",1005900,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-09,15:46,"Tinyu-An Falls, City Of Bislig, Surigao del Sur, Caraga",Philippines,8.1758,126.2288,100,song,,"Hypsipetes philippinus",1005899,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-09,14:54,"Tinyu-An Falls, City Of Bislig, Surigao del Sur, Caraga",Philippines,8.1758,126.2288,100,song,,,1005898,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Vadim Ivushkin ",2024-04-12,06:00,"Banaue, Ifugao, Cordillera Administrative Region",Philippines,16.9202,121.1064,1400,song,,,940148,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Greg Irving",2024-03-29,06:42,"Hospital Road, Subic Bay Freeport Zone, Bataan, Central Luzon",Philippines,14.7821,120.302,160,song,,"Treron axillaris,Ptilinopus occipitalis,Eudynamys scolopaceus",897273,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",leucotis,"Greg Irving",2024-03-25,10:14,"Calanasan - Claveria Road, Claveria, Cagayan Valley",Philippines,18.4851,121.1098,500,song,,,896298,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Michaela Webb",2021-02-02,17:50,"Abra De Ilog, Occidental Mindoro, MIMAROPA",Philippines,13.4781,120.8164,10,call,,,654064,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Albert Lastukhin",2016-10-25,07:30,"Puerto Galera, Oriental Mindoro, MIMAROPA",Philippines,13.4983,120.9492,40,song,,,625678,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-02-29,10:57," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622626,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,15:36," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622625,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-04,08:24," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622622,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,12:06," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622619,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,11:54," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622618,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,11:20," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622617,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,10:36," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622615,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-03,08:54," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,"Two individuals",,622614,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-01,08:14," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622612,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2020-03-01,10:34," Nug-As Forest, Alcoy, Cebu, Central Visayas",Philippines,9.7195,123.4529,750,song,,,622607,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-21,10:56,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,"call, song","feeding in a fruiting fig. Several birds present",,616710,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Jelle Scharringa",1985-03-27,06:15,"Davao City, Davao del Sur, Davao Region",Philippines,7.0225,125.3778,1100,song,"At edge of forest near Eagle Camp above Baracatan.","Hypsipetes philippinus,Aplonis minor",605396,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Rolf A. de By",2001-02-06,06:53,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,"Pitta steerii",411616,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigorum,"Brendan Sloan",2017-03-12,16:30,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",song,,,376779,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Frank Lambert",2010-04-18,?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,100,song,,,268966,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Mike Nelson",2015-01-25,10:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239344,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Mike Nelson",2015-01-25,10:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239343,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Frank Lambert",2009-12-10,?:?,"Mindanao; Zamboanga, Cabo Negro",Philippines,7.1087,122.0793,?,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8062>AV8062</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: rough estimate; Cabo Negro not found.",,69030,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2010-05-05,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,900,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10808>AV10808</a>.  Certainty: 100%.  ID determined by: not seen. GPS: estimate from Google Earth.",,69029,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2010-04-30,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,900,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10721>AV10721</a>.  Certainty: 100%.  ID determined by: not seen; familiar. GPS: estimate from Google Earth.",,69027,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2010-04-29,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,850,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10722>AV10722</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; familiar. GPS: estimate from Google Earth.",,69025,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Frank Lambert",2010-05-13,?:?,"Negros; Patag",Philippines,10.69,123.18,860,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10810>AV10810</a>.  Certainty: 100%.  ID determined by: not seen. GPS: recordist's estimate.",,69024,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2009-12-12,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Japa",Philippines,7.039,122.093,550,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10963>AV10963</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,69022,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2009-12-11,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,600,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10962>AV10962</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,69021,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,650,song,"ADMIN: Initial ID was wrong: see http://xeno-canto.org/discuss_forum.php?topic_nr=8267

Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10901>AV10901</a>.  Certainty: slightly less than 100%.  ID determined by: not seen; matches tentatively identified cuts AV 2262-2267. GPS: estimate from Google Earth.","Oriolus steerii,Psilopogon haemacephalus",69019,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Paul Noakes",2009-05-02,11:00,"Mount Kitanglad, Mindanao ",Philippines,8.123812,124.927254,?,song,,,41115,https://creativecommons.org/licenses/by-nc-nd/2.5/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Chi-Hsuan Shao",2026-02-21,13:59,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,call,,,1083597,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-09,14:52,"Tinyu-An Falls, City Of Bislig, Surigao del Sur, Caraga",Philippines,8.1758,126.2288,100,song,,"Hypsipetes everetti",1005896,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Greg Irving",2025-06-08,10:06,"Santa Maria, Prosperidad, Agusan del Sur, Caraga",Philippines,8.6603,125.8842,130,song,,,1005352,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",leucotis,"Greg Irving",2024-03-25,09:36,"Calanasan - Claveria Road, Claveria, Cagayan Valley",Philippines,18.4851,121.1098,500,song,,,896296,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",leucotis,"Greg Irving",2024-03-24,14:49,"Bluewater, Baggao, Cagayan, Cagayan Valley",Philippines,18.0208,121.9978,190,song,,,896126,https://creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Frank Lambert",2020-02-26,10:31,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,song,,,616721,https://creativecommons.org/licenses/by-nc-nd/4.0/
"White-eared Brown Dove","Phapitreron leucotis","ss brevirostris","Brendan Sloan",2018-05-16,07:00,"Senator Ninoy Aquino Mindanao",Philippines,,,"100 masl approx",call,,,442684,https://creativecommons.org/licenses/by-nc-sa/4.0/
